epoch,acc       ,f1                 ,loss               ,precision          ,recall   ,val_acc            ,val_f1            ,val_loss           ,val_precision     ,val_recall
0    ,0.137378  ,6.7027144          ,2.377751101945062  ,704083100.0        ,3.4100523,0.13455240428447723,7.630386829376221 ,2.282686189793083  ,1123478528.0      ,3.8151931762695312
1    ,0.20569167,6.650529           ,2.1519183779481996 ,562030600.0        ,3.395779 ,0.0998908281326294 ,2.1372671127319336,5.0639047935019414 ,2.3826193809509277,1.9522792100906372
2    ,0.31399712,5.6679473          ,1.892987554442522  ,82248904.0         ,3.1110134,0.3198689818382263 ,5.6039886474609375,1.863637292228932  ,24869584.0        ,3.0939393043518066
3    ,0.44857708,4.1003532          ,1.5853308476108516 ,9.435337           ,2.690811 ,0.39765283465385437,3.416823148727417 ,1.7317040403857502 ,5.558703422546387 ,2.507807493209839
4    ,0.5360677 ,3.1904552          ,1.3650955804938596 ,4.889424           ,2.3986018,0.38318777084350586,2.635645627975464 ,1.9845831081856806 ,3.4176321029663086,2.1721103191375732
5    ,0.58343   ,2.820042           ,1.2326304883767516 ,3.8510306          ,2.2471738,0.5423035025596619 ,2.252816915512085 ,1.4267977038845745 ,2.577594757080078 ,2.0115652084350586
6    ,0.62424076,2.55178            ,1.1283719465446693 ,3.2133796          ,2.1324203,0.4628821015357971 ,2.409360408782959 ,1.6463778961173312 ,2.851707696914673 ,2.1012301445007324
7    ,0.65119773,2.4175022          ,1.0669877698525125 ,2.9489737          ,2.0640755,0.6165392994880676 ,2.2248306274414062,1.0979739844018195 ,2.735243558883667 ,1.8903942108154297
8    ,0.6752201 ,2.2946868          ,0.9995176635984104 ,2.7158399          ,1.9996576,0.5136463046073914 ,2.2679364681243896,1.9027611293126403 ,2.5679237842559814,2.0431573390960693
0    ,0.1463864 ,6.7611704          ,2.358493563063615  ,427729150.0        ,3.4788058,0.19923581182956696,5.494521141052246 ,2.3367156784607332 ,9043506.0         ,3.114363431930542
1    ,0.22070566,6.635054           ,2.0776838712998806 ,354847100.0        ,3.4221382,0.201692134141922  ,6.563231468200684 ,2.0451106108952817 ,769391232.0       ,3.3066163063049316
2    ,0.35289702,5.2677464          ,1.7724968802926484 ,39104804.0         ,3.0284584,0.26555678248405457,4.869075775146484 ,2.1328413944577544 ,18.859264373779297,2.8859751224517822
3    ,0.49273187,3.7774796          ,1.475225274378811  ,7.1551785          ,2.6267505,0.47434496879577637,3.470122814178467 ,1.553482710534308  ,6.307335376739502 ,2.4341537952423096
4    ,0.5576332 ,3.1059127          ,1.307920149574587  ,4.5615273          ,2.3827085,0.6350982785224915 ,2.787614583969116 ,1.1034410140399848 ,3.670541763305664 ,2.267468214035034
5    ,0.60431314,2.7341444          ,1.1926445165998756 ,3.585388           ,2.228412 ,0.625              ,2.5448732376098633,1.162064107744975  ,3.2064132690429688,2.1285336017608643
